Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS PARA SERVICIOS INDUSTRIALES,649570,COMPRESOR DE AIRE,13349691,Inspeccion semanal Compresor aire zt55,Revise el aspecto general del equipo,si,CUMPLE,"8/5/2024, 20:35:50","0,0125",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649570,COMPRESOR DE AIRE,13349691,Inspeccion semanal Compresor aire zt55,"Revision del motor, ruido, vibracion, temperatura, exceso de polvo.",si,CUMPLE,"8/5/2024, 20:35:56","0,0125",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649570,COMPRESOR DE AIRE,13349691,Inspeccion semanal Compresor aire zt55,Revisar estado de elementos de medición,si,CUMPLE,"8/5/2024, 20:36:02","0,0125",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649570,COMPRESOR DE AIRE,13349691,Inspeccion semanal Compresor aire zt55,Verificar el adecuado funcionamiento de los filtros de la linea y estados de filtros paneles internos,si,CUMPLE,"8/5/2024, 20:36:07","0,0125",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar Estado de los instrumentos de medición,si,CUMPLE,"8/5/2024, 20:36:18","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar nivel de agua adecuado,si,CUMPLE,"8/5/2024, 20:36:24","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,"Verificar fugas de agua, vapor o gas en tuberias accesorios y tanque",si,CUMPLE,"8/5/2024, 20:36:30","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,"Revisar Ruido, vibración o calentamiento en electrobomba y motor blower ",si,CUMPLE,"8/5/2024, 20:36:36","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,"Revisar Estado de los tableros eléctricos (contactores, pulsadores, breakes, selectores etc)",si,CUMPLE,"8/5/2024, 20:36:47","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar el estado de base de estructura,si,CUMPLE,"8/5/2024, 20:36:54","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar  el funcionamiento de la electrovalvula de agua. Y valvula moduladora de gas  ,si,CUMPLE,"8/5/2024, 20:37:10","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar el funcionamiento del control de nivel de tanques y electrodos,si,CUMPLE,"8/5/2024, 20:37:20","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar temperatura de motores,si,CUMPLE,"8/5/2024, 20:37:25","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar iluminacion cuarto de caldera ,si,CUMPLE,"8/5/2024, 20:37:35","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659390,CALDERA,13333990,Inspección semanal Caldera PM,Verificar funcionaminamiento electrodo chispa y microswiche finales de carrera,si,CUMPLE,"8/5/2024, 20:37:45","0,0090909091",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Estado de los instrumentos de medición,si,CUMPLE,"8/5/2024, 20:46:30","0,0083333333",si,si,si,si,.,.,CUMPLE
