Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,Completado,Observaciones,Fecha Programada,imagen_observacion
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Estado del pozo 1 cod: 709686,"0,0714285714",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Estado del tablero eléctrico del pozo 1.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Estado del cableado eléctrico y sensores del pozo 1.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Estado de manómetros,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Estado de la iluminanción ,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709686,BOMBA POZO NO 1,13344867,Inspección semanal bomba pozo #1 ptap,Estado de encerramiento de mallas,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Estado del pozo 2 cod: 709687,"0,0714285714",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Estado del tablero eléctrico del pozo 2.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Estado del cableado eléctrico y sensores del pozo 2.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Estado de manómetros,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Estado de la iluminanción ,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709687,BOMBA POZO NO 2,13344868,Inspección semanal bomba pozo #2 ptap,Estado de encerramiento de mallas,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Estado del pozo 3 cod: 709688,"0,0714285714",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Estado del tablero eléctrico del pozo 3.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Estado del cableado eléctrico y sensores del pozo 3.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Estado de manómetros,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Estado de la iluminanción ,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709688,BOMBA POZO NO 3,13344869,Inspección semanal bomba pozo #3 ptap,Estado de encerramiento de mallas,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Estado del pozo 4 cod: 709689,"0,0714285714",si,si,si,si,,,,,,,
